pixrad,asw,n_models,z_src_used,mid,z_lens_used,user,swid
,ASW0009ah7,,,VAQZY6RXGP,,,----,
8,ASW0004dv8,200,1.0,4711,0.5,ElisabethB,SW01,
11,ASW0004dv8,200,0.65,4713,0.25,c_cld,SW01,
8,ASW00047ae,200,1.0,6767,0.5,c_cld,SW13,
8,ASW00047ae,200,1.0,6771,0.5,c_cld,SW13,
,ASW0008qsm,,,TQKS2E5S7H,,,SW29,
10,ASW00047ae,200,0.9,6784,0.5,c_cld,SW13,
8,ASW0004dv8,200,1.0,4737,0.5,Capella05,SW01,
11,ASW00047ae,200,0.9,6789,0.5,c_cld,SW13,
12,ASW00047ae,200,0.9,6790,0.5,c_cld,SW13,
11,ASW00047ae,200,0.9,6792,0.5,c_cld,SW13,
12,ASW0009bp2,200,1.0,13421,0.5,c_cld,SW16,
,ASW0009auu,,,5WCTAXPI57,,,----,
,ASW0001lb5,,,E663NDQICM,,,----,
11,ASW0004dv8,200,0.65,4755,0.25,c_cld,SW01,
8,ASW0004dv8,200,1.0,4758,0.5,ElisabethB,SW01,
,ASW0005ma2,,,ANLNZDLGFF,,,SW26,
,ASW0007t5y,,,YINTKV2XET,,,SW55,
,ASW0009cox,,,KCX5ZKZCYU,,,----,
,ASW0002asp,,,5EKMWWVJHL,,,SW09,
10,ASW0007t5y,200,1.0,8879,0.5,c_cld,SW55,
12,ASW0007t5y,200,1.0,8881,0.5,c_cld,SW55,
12,ASW0007k4r,200,1.0,8884,0.5,c_cld,SW05,
12,ASW0007k4r,200,1.0,8885,0.5,c_cld,SW05,
12,ASW0007t5y,200,1.0,8886,0.5,Phil,SW55,
,ASW00024id,,,YOWQIQUBK3,,,SW45,
,ASW0002dx7,,,PWHGWXVMWP,,,SW20,
,ASW0006jh5,,,4TI677H3WU,,,SW27,
8,ASW0004dv8,200,1.0,4809,0.5,Budgieye,SW01,
,ASW00023pg,,,BL5HGOKDXT,,,----,
,ASW0005ks6,,,WJJMCUTSO4,,,----,
8,ASW0004dv8,200,1.0,4827,0.5,ElisabethB,SW01,
,ASW0009ah7,,,MUGCPS43Y5,,,----,
8,ASW0004dv8,200,1.0,4836,0.5,Budgieye,SW01,
12,ASW0007t5y,200,1.0,8933,0.5,Capella05,SW55,
,ASW00077jj,,,GW3RRTRLW4,,,----,
,ASW0002b6m,,,JQFENOSLM6,,,----,
,ASW0006a07,,,Y7SAF7WWVG,,,SW52,
8,ASW0004dv8,200,1.1,4849,0.24,c_cld,SW01,
8,ASW0004dv8,200,1.0,4850,0.5,Khalila RedBird,SW01,
8,ASW0004dv8,200,1.0,4853,0.5,Khalila RedBird,SW01,
,ASW0001csb,,,AMA6R2SYYF,,,----,
8,ASW0006e0o,200,1.0,13053,0.5,c_cld,SW51,
10,ASW0006e0o,200,1.0,13055,0.5,c_cld,SW51,
12,ASW0006e0o,200,1.0,13056,0.5,c_cld,SW51,
8,ASW0004dv8,200,1.0,4865,0.1,ElisabethB,SW01,
,ASW0001csb,,,TFEVAN2TRQ,,,----,
11,ASW0004dv8,200,1.4,4870,0.3,c_cld,SW01,
11,ASW0004dv8,200,1.0,4871,0.5,c_cld,SW01,
,ASW0008qsm,,,QLLDGNCFYV,,,SW29,
9,ASW0004dv8,200,1.2,4879,0.3,c_cld,SW01,
8,ASW0002dx7,200,1.0,474,0.5,jasonjason,SW20,
11,ASW0004dv8,200,1.0,4902,0.5,c_cld,SW01,
10,ASW0004dv8,200,0.84,4916,0.3,c_cld,SW01,
,ASW0000ar2,,,JW3HOCVDHD,,,----,
,ASW0009ah7,,,AXO5WSFKRZ,,,----,
,ASW0008qsm,,,M6IXERVPB4,,,SW29,
,ASW0000wqt,,,23WB343MWG,,,----,
,ASW0003gj8,,,K575KIHHGI,,,----,
,ASW0008qsm,,,DLDC4N7SOR,,,SW29,
,ASW0000g95,,,A6UPEGOHT5,,,SW48,
,ASW0004nan,,,WWPXSGQALW,,,SW15,
11,ASW0008swn,200,1.0,12372,0.5,c_cld,SW06,
,ASW0004m3x,,,PGTZG3KCTV,,,SW21,
,ASW0002p8y,,,3BJQ2QZN65,,,SW30,
11,ASW0004dv8,200,2.0,4965,0.32,c_cld,SW01,
12,ASW0002dx7,200,1.0,13160,0.5,c_cld,SW20,
12,ASW0002dx7,200,1.0,13164,0.5,c_cld,SW20,
12,ASW0002dx7,200,1.0,13165,0.5,c_cld,SW20,
,ASW0000101,,,FKWANV5CHI,,,----,
,ASW000066w,,,KEDFRTYJXH,,,----,
11,ASW0004dv8,200,2.0,4979,0.32,c_cld,SW01,
12,ASW0002dx7,200,1.5,13175,0.3,c_cld,SW20,
12,ASW0002dx7,200,1.5,13178,0.3,c_cld,SW20,
,ASW0004nan,,,SIXSETQH4U,,,SW15,
8,ASW0002k40,200,1.0,896,0.5,Capella05,SW44,
12,ASW0002dx7,200,2.0,13185,0.3,c_cld,SW20,
8,ASW0002k40,200,1.0,899,0.5,Capella05,SW44,
,ASW0002fq1,,,YFTCUILJRN,,,----,
12,ASW0002dx7,200,0.9,13195,0.2,c_cld,SW20,
,ASW0009ah7,,,FEDADOFWJF,,,----,
,ASW0008qsm,,,M6ANSGW2BE,,,SW29,
11,ASW0006jh5,200,1.0,13217,0.5,c_cld,SW27,
12,ASW0006jh5,200,1.0,13218,0.5,c_cld,SW27,
12,ASW0004dv8,200,1.0,7081,0.5,Budgieye,SW01,
8,ASW0004dv8,200,1.0,7084,0.5,Budgieye,SW01,
12,ASW000619d,200,1.0,11421,0.5,c_cld,SW02,
,ASW0000p5i,,,CN5XYWWN4K,,,----,
9,ASW0001c3j,200,1.0,13248,0.5,c_cld,SW43,
11,ASW0001c3j,200,1.0,13251,0.5,c_cld,SW43,
12,ASW0001c3j,200,1.0,13252,0.5,c_cld,SW43,
,ASW0008qab,,,YE3SNH2S7J,,,----,
,ASW000102p,,,WM4H5RZXQZ,,,----,
8,ASW0006e0o,200,1.0,5068,0.5,c_cld,SW51,
8,ASW0004dv8,200,1.0,11214,0.5,Phil,SW01,
11,ASW0002qtn,200,1.0,13266,0.5,c_cld,SW11,
12,ASW0002qtn,200,1.0,13267,0.5,c_cld,SW11,
11,ASW0002dx7,200,1.0,13273,0.5,c_cld,SW20,
12,ASW0002dx7,200,1.0,13274,0.5,c_cld,SW20,
10,ASW0006e0o,200,0.5,5088,0.3,c_cld,SW51,
,ASW00097xm,,,43S62WJQ2F,,,----,
,ASW0002b6m,,,QEO6G4TLRO,,,----,
,ASW0000p5i,,,DGF4BEHAG6,,,----,
,ASW00097xm,,,GG47VKE5TW,,,----,
8,ASW0004dv8,200,1.0,5130,0.5,KhalilaRedBird,SW01,
,ASW0008pag,,,5SXGXQYY6V,,,SW57,
8,ASW0004dv8,200,1.0,7185,0.5,c_cld,SW01,
8,ASW0004dv8,200,2.0,7189,0.3,test,SW01,
,ASW0006hn5,,,ZZVDL5LWAV,,,----,
12,ASW0004dv8,300,1.0,7193,0.4,c_cld,SW01,
9,ASW0004dv8,300,1.0,7195,0.4,c_cld,SW01,
,ASW0008qsm,,,NVEGH6GN5Z,,,SW29,
12,ASW0004dv8,300,1.0,7200,0.4,c_cld,SW01,
12,ASW0004dv8,300,1.8,7202,0.4,c_cld,SW01,
,ASW0007sez,,,SI4ELBAKL2,,,SW54,
,ASW0004nan,,,4UFEW5R5W3,,,SW15,
,ASW000096t,,,7IPP7LWVOF,,,SW36,
11,ASW0009ab8,200,1.0,11332,0.5,c_cld,SW22,
,ASW0000101,,,GTSHA64I2Z,,,----,
12,ASW0009ab8,200,1.0,11334,0.5,c_cld,SW22,
12,ASW0004dv8,300,1.1,7242,0.4,c_cld,SW01,
,ASW0008qab,,,KWJWJZYPY6,,,----,
,ASW0002e7v,,,EVTAGNFHLH,,,----,
,ASW0002bmc,,,VQYCYNONVW,,,SW10,
12,ASW0001ld7,200,1.0,13397,0.5,c_cld,SW19,
,ASW0000w54,,,JE3O2HRDRJ,,,----,
,ASW0009cox,,,5P5PSM2PUJ,,,----,
12,ASW0004dv8,300,1.1,7258,0.4,c_cld,SW01,
12,ASW0004dv8,300,1.0,7261,0.5,jasonjason,SW01,
11,ASW00050sk,200,1.0,13406,0.5,c_cld,SW24,
,ASW0001hpf,,,X2XNJLZM4T,,,----,
,ASW0001lb5,,,VSCIV3SDAV,,,----,
8,ASW0004dv8,200,1.0,11363,0.5,Capella05,SW01,
8,ASW0004dv8,200,1.0,11364,0.5,Capella05,SW01,
