pixrad,asw,n_models,mid,z_src_used,z_lens_used,user,swid
11,ASW0004dv8,200,4902,1.0,0.5,c_cld,SW01,
8,ASW0004dv8,200,10004,1.0,0.5,ElisabethB,SW01,
,ASW0006a07,,13589,,,C_cld,SW52,
12,ASW0007e08,200,7959,1.2,0.5,c_cld,SW07,
12,ASW0007e08,200,7961,1.2,0.5,c_cld,SW07,
8,ASW0002dx7,200,474,1.0,0.5,jasonjason,SW20,
10,ASW00024id,200,13599,1.3,0.66,c_cld,SW45,
12,ASW00024id,200,13600,1.3,0.66,c_cld,SW45,
12,ASW0004dv8,300,7459,0.7,0.4,c_cld,SW01,
12,ASW0006a07,200,6437,0.76,0.38,c_cld,SW52,
11,ASW00024id,200,13606,1.1,0.63,c_cld,SW45,
,ASW0004m3x,,QZROE23AUH,,,C_cld,SW21,
10,ASW00024id,200,13611,1.1,0.63,c_cld,SW45,
9,ASW00024id,200,13614,1.1,0.63,c_cld,SW45,
9,ASW00024id,200,13615,1.1,0.63,c_cld,SW45,
12,ASW0002dx7,200,13274,1.0,0.5,c_cld,SW20,
8,ASW0008wmr,200,13448,1.0,0.5,psrk,SW40,
10,ASW0004dv8,200,4916,0.84,0.3,c_cld,SW01,
12,ASW0004dv8,300,7990,1.0,0.5,c_cld,SW01,
12,ASW0004dv8,300,7479,1.0,0.5,ElisabethB,SW01,
8,ASW0004iye,200,2360,1.0,0.5,psaha,SW32,
12,ASW0004dv8,300,7993,1.0,0.4,c_cld,SW01,
8,ASW0004dv8,200,4570,1.0,0.5,ElisabethB,SW01,
8,ASW0008wmr,200,13445,1.0,0.5,psrk,SW40,
10,ASW0006e0o,200,5088,0.5,0.3,c_cld,SW51,
12,ASW0004dv8,200,5515,1.0,0.5,ElisabethB,SW01,
,ASW00021r0,,2CZ5QU37NJ,,,Capella05,SW31,
,ASW0008qsm,,M6IXERVPB4,,,ElisabethB,SW29,
12,ASW0007e08,200,8009,0.8,0.48,c_cld,SW07,
11,ASW0004dv8,300,7991,1.0,0.4,c_cld,SW01,
9,ASW0004iye,200,2142,1.0,0.5,jasonjason,SW32,
12,ASW0004dv8,200,6479,1.0,0.5,ElisabethB,SW01,
8,ASW0004dv8,200,4836,1.0,0.5,Budgieye,SW01,
,ASW0004m3x,,VTGDU6KOBA,,,Capella05,SW21,
12,ASW0002asp,200,13029,1.0,0.5,c_cld,SW09,
,ASW0004m3x,,PGTZG3KCTV,,,Capella05,SW21,
,ASW0002p8y,,3BJQ2QZN65,,,Capella05,SW30,
11,ASW0004dv8,200,4965,2.0,0.32,c_cld,SW01,
12,ASW0002dx7,200,13160,1.0,0.5,c_cld,SW20,
8,ASW0004dv8,200,4544,1.0,0.5,Budgieye,SW01,
12,ASW0002dx7,200,13164,1.0,0.5,c_cld,SW20,
12,ASW0002dx7,200,13165,1.0,0.5,c_cld,SW20,
,ASW00007ls ASW000066w,,KEDFRTYJXH,,,C_cld,----,
12,ASW00024id,200,8048,1.0,0.5,c_cld,SW45,
12,ASW0004dv8,300,7040,0.7,0.25,c_cld,SW01,
11,ASW0004dv8,200,4979,2.0,0.32,c_cld,SW01,
8,ASW0007e08,200,7957,1.0,0.5,c_cld,SW07,
8,ASW0002asp,200,2421,1.0,0.5,jon273,SW09,
,ASW0008qsm,,TQKS2E5S7H,,,C_cld,SW29,
12,ASW0002dx7,200,13175,1.5,0.3,c_cld,SW20,
11,ASW00024id,200,8057,1.0,0.5,c_cld,SW45,
12,ASW0002dx7,200,13178,1.5,0.3,c_cld,SW20,
12,ASW0004dv8,200,11367,1.0,0.5,Capella05,SW01,
,ASW0008qsm,,2SU75GA4XN,,,C_cld,SW29,
12,ASW0008swn,200,12373,1.0,0.5,c_cld,SW06,
8,ASW0002k40,200,896,1.0,0.5,Capella05,SW44,
12,ASW0002dx7,200,13185,2.0,0.3,c_cld,SW20,
8,ASW0002k40,200,899,1.0,0.5,Capella05,SW44,
12,ASW0002asp,200,3972,1.0,0.5,psaha,SW09,
,ASW0004m3x,,HOHZKGVFHT,,,Capella05,SW21,
12,ASW00024q6,200,12523,1.0,0.5,c_cld,SW46,
11,ASW0004dv8,200,6696,1.0,0.5,jasonjason,SW01,
,ASW0007sez,,CCZG2QBCV3,,,C_cld,SW54,
12,ASW0002dx7,200,13195,0.9,0.2,c_cld,SW20,
12,ASW0004dv8,200,5520,1.0,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,5523,1.0,0.5,ElisabethB,SW01,
,ASW00085cp,,6IU7DLN5GK,,,ElisabethB,SW59,
12,ASW0007k4r,200,12694,1.55,0.62,c_cld,SW05,
12,ASW0004dv8,200,5527,1.0,0.5,ElisabethB,SW01,
12,ASW0004dv8,200,5529,1.0,0.5,ElisabethB,SW01,
8,ASW0004dv8,200,4506,1.0,0.5,c_cld,SW01,
,ASW00021r0,,Y4NEUEI45Y,,,C_cld,SW31,
12,ASW0009ab8,200,11333,1.0,0.5,c_cld,SW22,
11,ASW0006jh5,200,13217,1.0,0.5,c_cld,SW27,
12,ASW0006jh5,200,13218,1.0,0.5,c_cld,SW27,
12,ASW000619d,200,11419,1.0,0.5,c_cld,SW02,
8,ASW0004dv8,200,4516,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,1447,1.03,0.36,jasonjason,SW01,
12,ASW0003wsu,200,12712,1.0,0.5,c_cld,SW12,
12,ASW0004dv8,200,7081,1.0,0.5,Budgieye,SW01,
8,ASW0004dv8,200,7084,1.0,0.5,Budgieye,SW01,
8,ASW0003r61,200,2478,1.0,0.5,Capella05,SW23,
12,ASW000619d,200,11421,1.0,0.5,c_cld,SW02,
8,ASW0003r61,200,2481,1.0,0.5,jon273,SW23,
10,ASW0004dv8,200,4531,0.7,0.2,c_cld,SW01,
,ASW000096t,,ZHRZSBEAN5,,,ElisabethB,SW36,
11,ASW0004dv8,200,4535,0.68,0.2,c_cld,SW01,
11,ASW0004dv8,200,4536,0.68,0.2,c_cld,SW01,
,ASW0008xbu,,BFXRMIQEAT,,,ElisabethB,SW41,
9,ASW0004dv8,200,4538,0.7,0.2,c_cld,SW01,
12,ASW0008swn,200,11707,1.0,0.5,c_cld,SW06,
10,ASW0006jh5,200,13427,1.0,0.5,c_cld,SW27,
9,ASW0004dv8,200,4543,0.6,0.2,c_cld,SW01,
7,ASW0008swn,200,12736,1.0,0.5,c_cld,SW06,
10,ASW0008swn,200,12737,1.0,0.5,c_cld,SW06,
12,ASW0008swn,200,12738,1.0,0.5,c_cld,SW06,
11,ASW0001c3j,200,13251,1.0,0.5,c_cld,SW43,
12,ASW0001c3j,200,13252,1.0,0.5,c_cld,SW43,
12,ASW00096rm,200,11717,1.0,0.5,c_cld,SW42,
8,ASW0004dv8,200,4550,2.0,0.2,Budgieye,SW01,
8,ASW0004dv8,200,4552,1.0,0.5,Budgieye,SW01,
8,ASW0004dv8,200,4553,1.0,0.2,Budgieye,SW01,
8,ASW0004dv8,200,4554,1.0,0.5,Budgieye,SW01,
8,ASW0006e0o,200,5068,1.0,0.5,c_cld,SW51,
8,ASW0004dv8,200,11214,1.0,0.5,Phil,SW01,
,ASW0004m3x,,I2AODKYMKN,,,Capella05,SW21,
12,ASW0004dv8,200,5505,1.0,0.5,ElisabethB,SW01,
11,ASW0002qtn,200,13266,1.0,0.5,c_cld,SW11,
12,ASW0002qtn,200,13267,1.0,0.5,c_cld,SW11,
12,ASW0004dv8,300,8932,1.0,0.5,psaha,SW01,
8,ASW0004dv8,200,4568,1.0,0.5,Capella05,SW01,
11,ASW0002dx7,200,13273,1.0,0.5,c_cld,SW20,
12,ASW0004dv8,200,5594,1.0,0.5,Capella05,SW01,
8,ASW0004dv8,200,4571,1.0,0.2,Budgieye,SW01,
12,ASW0007k4r,200,12766,1.55,0.62,c_cld,SW05,
,ASW0004xjk,,P5W2HUVWX3,,,ElisabethB,SW14,
12,ASW0007k4r,200,12768,1.55,0.62,c_cld,SW05,
12,ASW0007k4r,200,12769,1.0,0.5,c_cld,SW05,
12,ASW0007k4r,200,12770,1.0,0.5,c_cld,SW05,
12,ASW0007k4r,200,12771,1.55,0.62,c_cld,SW05,
8,ASW0004dv8,200,4585,1.0,0.5,Budgieye,SW01,
8,ASW00024id,200,2026,1.0,0.5,psaha,SW45,
10,ASW0003wsu,200,12711,1.0,0.5,c_cld,SW12,
8,ASW00024id,200,2030,1.0,0.5,psaha,SW45,
8,ASW0006e0o,200,13053,1.0,0.5,c_cld,SW51,
,ASW00008a0,,5WB7AO4WUY,,,Capella05,SW50,
12,ASW0009cjs,200,11763,1.0,0.5,c_cld,SW04,
,ASW00021r0,,SYTNGELH3Q,,,Capella05,SW31,
,ASW00070vl,,M36RZR4OC4,,,Capella05,SW53,
11,ASW0008swn,200,12372,1.0,0.5,c_cld,SW06,
10,ASW00024id,200,13557,1.0,0.5,c_cld,SW45,
12,ASW0001ld7,200,13397,1.0,0.5,c_cld,SW19,
