gls_ver,pixrad,asw,pixscale,swid,n_models,Mtot_ens_ave,mid,z_src_used,z_lens_used,created_on,Mtot_min,Mtot_min_z_corrected,user,Mtot_ens_ave_z_corrected,lmt_ver,z_lens_actual,type,Mtot_max,Mtot_max_z_corrected
4,12,ASW0007t5y,0.16456,SW55,200,1.2320826249e+12,8933,1.0,0.5,2013-09-12 19:28:51,1.17506315087e+12,0.0,Capella05,0.0,1.6.3,0.0,old,1.31636530344e+12,0.0,
-2,8,ASW0004dv8,0.0,SW01,200,6.96947837227e+12,4544,1.0,0.5,2013-08-03 22:24:34,6.19507815923e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,7.62351641773e+12,0.0,
5,12,ASW0009ah7,0.16456,----,200,5.77290551277e+12,M7GZJN2BAG,1.99,0.43,2015-05-16 16:22:35,5.26968045426e+12,5.26968045426e+12,c_cld,5.77290551277e+12,2.0.0,0.0,new,6.28403547055e+12,6.28403547055e+12,
5,10,ASW0004m3x,0.16456,SW21,200,9.49496185147e+12,I2AODKYMKN,1.0,0.5,2015-04-26 12:08:57,8.5622880223e+12,5.77643389596e+12,Capella05,6.40564990769e+12,2.0.0,0.5,new,1.02481569635e+13,6.91378298663e+12,
-1,8,ASW0002asp,0.0,SW09,200,2.68390221276e+12,2421,1.0,0.5,2013-06-29 16:34:43,2.33390111362e+12,3.62948743009e+12,jon273,4.17377980924e+12,,1.0,old,3.15986812358e+12,4.91396210762e+12,
5,12,ASW0001c3j,0.16456,SW43,200,1.80300215417e+12,ZUDPUWLX7U,1.0,0.5,2015-05-13 17:24:24,1.69278453924e+12,2.63247665943e+12,c_cld,2.80387785788e+12,2.0.0,1.0,new,1.9382597255e+12,3.01421909819e+12,
5,8,ASW0000100,0.16456,----,200,2.48145664678e+14,ITJPW5HLAV,1.0,0.5,2015-04-23 18:31:18,2.16774531676e+14,0.0,rk,0.0,2.0.0,0.0,new,2.76373935098e+14,0.0,
-2,12,ASW0004dv8,0.0,SW01,200,5.98327021639e+12,5527,1.0,0.5,2013-08-09 00:19:47,5.53557839655e+12,0.0,ElisabethB,0.0,0.0.0,0.0,old,6.36820779969e+12,0.0,
5,12,ASW00077jj,0.16456,----,200,1.6618389776e+12,5LLJENQLGT,1.0,0.5,2015-04-30 14:33:04,1.55640176638e+12,0.0,c_cld,0.0,2.0.0,0.0,new,1.7960727724e+12,0.0,
5,11,ASW0008qsm,0.16456,SW29,200,1.32973298319e+12,DHCOMTUAOI,1.0,0.5,2015-04-26 13:52:18,1.21662019956e+12,1.39023740095e+12,c_cld,1.51949189005e+12,2.0.0,0.8,new,1.44177177209e+12,1.64751912052e+12,
4,12,ASW0007k4r,0.16456,SW05,200,1.33389437047e+13,12694,1.55,0.62,2014-11-26 21:34:00,1.265881253e+13,1.0669084008e+13,c_cld,1.12423112852e+13,1.6.3,0.6,old,1.40826902346e+13,1.18691547738e+13,
-2,8,ASW0004dv8,0.0,SW01,200,1.01197645023e+13,4506,1.0,0.5,2013-08-03 15:18:33,8.73382477553e+12,0.0,c_cld,0.0,0.0.0,0.0,old,1.13514865453e+13,0.0,
5,11,ASW00021r0,0.16456,SW31,200,5.16258318425e+12,Y4NEUEI45Y,1.0,0.5,2015-04-25 08:27:12,4.61882173843e+12,4.49217556892e+12,c_cld,5.02102730223e+12,2.0.0,0.7,new,5.60357156274e+12,5.44992396294e+12,
-2,8,ASW0004dv8,0.0,SW01,200,6.68534730673e+12,4516,1.0,0.5,2013-08-03 15:41:37,5.76152374294e+12,0.0,Capella05,0.0,0.0.0,0.0,old,7.36296164581e+12,0.0,
4,10,ASW0003wsu,0.16456,SW12,200,664915943553.0,12711,1.0,0.5,2014-11-27 08:35:21,605279311677.0,325943427220.0,c_cld,358057804511.0,1.6.3,0.4,old,730902601215.0,393591676120.0,
4,12,ASW0003wsu,0.16456,SW12,200,559223511226.0,12712,1.0,0.5,2014-11-27 08:37:05,520038921632.0,280041404248.0,c_cld,301142339271.0,1.6.3,0.4,old,600445133392.0,323340218078.0,
4,9,ASW0004dv8,0.16456,SW01,200,8.45159184302e+12,12359,1.0,0.5,2014-04-21 01:09:45,7.53707014628e+12,0.0,Phil,0.0,1.6.3,0.0,old,9.44616740391e+12,0.0,
5,12,ASW0009ah7,0.16456,----,200,6.56960298813e+12,B7S2OP7PZR,1.6,0.43,2015-05-17 10:21:40,6.06342118207e+12,6.06342118207e+12,c_cld,6.56960298813e+12,2.0.0,0.0,new,7.14721005232e+12,7.14721005232e+12,
-1,8,ASW0003r61,0.0,SW23,200,4.30709444994e+12,2478,1.0,0.5,2013-06-30 11:32:51,3.83681610989e+12,3.13880115516e+12,Capella05,3.5235238405e+12,,0.6,old,4.83760102418e+12,3.95751770426e+12,
5,12,ASW00086xq,0.16456,SW37,200,2.38219086266e+12,BYQATMOXCM,1.0,0.5,2015-07-15 13:43:47,2.21811388448e+12,0.0,L,0.0,2.0.0,0.0,new,2.52001320251e+12,0.0,
-1,8,ASW0003r61,0.0,SW23,200,4.43996035653e+12,2481,1.0,0.5,2013-06-30 12:00:58,3.89172695881e+12,3.18372231663e+12,jon273,3.63221804141e+12,,0.6,old,4.97149750685e+12,4.06705499311e+12,
5,12,ASW0006e0o,0.16456,SW51,200,4.62477940478e+12,S2LA5MRACS,1.0,0.5,2015-07-16 08:27:14,4.33504882519e+12,0.0,L,0.0,2.0.0,0.0,new,4.99434573763e+12,0.0,
5,12,ASW00024id,0.16456,SW45,200,6.79603874761e+12,TPSG5PJMDD,1.2,0.76,2015-04-28 11:04:47,6.4578624487e+12,4.11469585484e+12,c_cld,4.33016848629e+12,2.0.0,0.8,new,7.15007519682e+12,4.55574658146e+12,
5,12,ASW00071fc,0.16456,----,200,4.0076199228e+12,5KOQG45XYQ,1.0,0.33,2015-05-03 16:38:40,3.76583547495e+12,0.0,c_cld,0.0,2.0.0,0.0,new,4.33007925688e+12,0.0,
5,12,ASW0002qtn,0.16456,SW11,200,546875059036.0,3TUJKHGED4,1.0,0.5,2015-07-15 10:46:04,510186706558.0,582992655537.0,L,624916601739.0,2.0.0,0.8,new,590383054631.0,674633384954.0,
-2,11,ASW0004dv8,0.0,SW01,200,2.47296348972e+12,4536,0.68,0.2,2013-08-03 18:05:50,2.28308390096e+12,2.28308390096e+12,c_cld,2.47296348972e+12,0.0.0,0.0,old,2.72204456679e+12,2.72204456679e+12,
5,8,ASW0000100,0.16456,----,200,2.45325615564e+14,L6BCJAN4XY,1.0,0.5,2015-04-23 21:09:56,2.11712076602e+14,0.0,rk,0.0,2.0.0,0.0,new,2.7100766291e+14,0.0,
5,10,ASW0008qsm,0.16456,SW29,200,1.42218750586e+12,GYTFOS6GJS,1.0,0.5,2015-04-26 13:20:33,1.26625359471e+12,1.44695370591e+12,c_cld,1.62514009098e+12,2.0.0,0.8,new,1.56108546295e+12,1.78385941434e+12,
-2,9,ASW0004dv8,0.0,SW01,200,3.1677106063e+12,4539,0.7,0.2,2013-08-03 20:29:32,2.73641953338e+12,2.73641953338e+12,c_cld,3.1677106063e+12,0.0.0,0.0,old,3.4599135589e+12,3.4599135589e+12,
-2,9,ASW0004dv8,0.0,SW01,200,3.33136168721e+12,4543,0.6,0.2,2013-08-03 20:55:07,2.91835072494e+12,2.91835072494e+12,c_cld,3.33136168721e+12,0.0.0,0.0,old,3.70750208992e+12,3.70750208992e+12,
4,7,ASW0008swn,0.16456,SW06,200,1.11999259447e+12,12736,1.0,0.5,2014-11-27 17:14:27,953873100250.0,643517818413.0,c_cld,755588128906.0,1.6.3,0.5,old,1.28642430223e+12,867869070120.0,
4,10,ASW0008swn,0.16456,SW06,200,697172281216.0,12737,1.0,0.5,2014-11-27 17:15:49,635315718170.0,428607311447.0,c_cld,470338020171.0,1.6.3,0.5,old,775028634914.0,522862775160.0,
4,12,ASW0008swn,0.16456,SW06,200,609890005646.0,12738,1.0,0.5,2014-11-27 17:18:00,572211559469.0,386034928885.0,c_cld,411454192179.0,1.6.3,0.5,old,655709134132.0,442365458675.0,
-2,8,ASW0004dv8,0.0,SW01,200,1.87842812235e+12,4550,2.0,0.2,2013-08-03 22:51:04,1.6563784627e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,2.1053942292e+12,0.0,
5,10,ASW00042d9,0.16456,----,200,2.13433955519e+12,F37TTRCS7W,1.0,0.48,2015-05-05 13:51:36,1.93672232685e+12,0.0,c_cld,0.0,2.0.0,0.0,new,2.3432234764e+12,0.0,
-2,8,ASW0004dv8,0.0,SW01,200,1.71435385921e+12,4553,1.0,0.2,2013-08-04 12:02:40,1.51575230705e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,2.00039041382e+12,0.0,
-2,8,ASW0004dv8,0.0,SW01,200,5.6036259606e+12,4554,1.0,0.5,2013-08-04 12:08:19,4.8841192765e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,6.23377592926e+12,0.0,
5,8,ASW0007iwp,0.16456,SW58,200,1.16535614084e+13,M5GLDBO63A,1.0,0.5,2015-06-12 09:56:26,1.00490292641e+13,8.22085389523e+12,psaha,9.53348061587e+12,2.0.0,0.6,new,1.29147095318e+13,1.05651936491e+13,
5,12,ASW0009ah7,0.16456,----,200,5.59005657246e+12,MUGCPS43Y5,1.99,0.43,2015-05-17 08:21:56,5.11679819769e+12,5.11679819769e+12,c_cld,5.59005657246e+12,2.0.0,0.0,new,5.9631980382e+12,5.9631980382e+12,
5,10,ASW0001csb,0.16456,----,200,1.71820751495e+12,AMA6R2SYYF,0.9,0.29,2015-05-05 15:09:52,1.56881606876e+12,1.56881606876e+12,c_cld,1.71820751495e+12,2.0.0,0.0,new,1.90159633304e+12,1.90159633304e+12,
-2,8,ASW0004dv8,0.0,SW01,200,7.08059660374e+12,4568,1.0,0.5,2013-08-04 12:59:36,6.32626596791e+12,0.0,Capella05,0.0,0.0.0,0.0,old,7.82272304502e+12,0.0,
-1,8,ASW0002dx7,0.0,SW20,200,3.59941047697e+12,474,1.0,0.5,2013-06-07 06:04:25,3.14612625451e+12,1.27834685069e+12,jasonjason,1.4625271446e+12,,0.3,old,4.08193512208e+12,1.6585885263e+12,
-2,8,ASW0004dv8,0.0,SW01,200,1.73796480748e+12,4571,1.0,0.2,2013-08-04 13:10:23,1.52483546144e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,1.92337717944e+12,0.0,
4,12,ASW0007k4r,0.16456,SW05,200,1.26419184939e+13,12766,1.55,0.62,2014-11-28 08:27:41,1.18862631497e+13,1.00179649383e+13,c_cld,1.06548453983e+13,1.6.3,0.6,old,1.33527173138e+13,1.12539199406e+13,
5,12,ASW0001lb5,0.16456,----,200,2.90475649455e+12,GSSPJIU2Z2,1.0,0.5,2015-05-11 13:13:51,2.69944338738e+12,0.0,c_cld,0.0,2.0.0,0.0,new,3.11796689979e+12,0.0,
4,12,ASW0007k4r,0.16456,SW05,200,1.25791179615e+13,12768,1.55,0.62,2014-11-28 08:45:50,1.17808919398e+13,9.92915611137e+12,c_cld,1.06019159348e+13,1.6.3,0.6,old,1.33508761336e+13,1.12523681595e+13,
4,12,ASW0007k4r,0.16456,SW05,200,1.30048708155e+13,12769,1.0,0.5,2014-11-28 08:57:40,1.20761535975e+13,9.87919248041e+12,c_cld,1.06389522899e+13,1.6.3,0.6,old,1.38451796559e+13,1.13263874662e+13,
5,12,ASW0008qsm,0.16456,SW29,200,872227085823.0,DLDC4N7SOR,1.0,0.5,2015-05-12 09:15:58,810828281996.0,926537142637.0,c_cld,996697833282.0,2.0.0,0.8,new,941436419796.0,1.07578365203e+12,
4,12,ASW0007k4r,0.16456,SW05,200,1.2732666362e+13,12771,1.55,0.62,2014-11-28 09:20:16,1.18101178317e+13,9.9537882398e+12,c_cld,1.07313293992e+13,1.6.3,0.6,old,1.35520509476e+13,1.14219220561e+13,
-2,8,ASW0004dv8,0.0,SW01,200,5.62921653945e+12,4585,1.0,0.5,2013-08-04 13:39:48,4.93024932256e+12,0.0,Budgieye,0.0,0.0.0,0.0,old,6.18025211862e+12,0.0,
