mid,type,asw,paperid,user,pixrad,nmodels,z_lens_used,z_src_used,m<R,glsv,lmtv,pxscale,z_lens_real,z_src_real,corrected_mass
008886,old,ASW0007t5y,SW55,Phil,12,200,0.5,1.0,1.33516387763e+12,4,1.6.3,0.16456,0.0,1.3,0
008932,old,ASW0004dv8,SW01,psaha,12,300,0.5,1.0,5.22760106153e+12,4,1.6.3,0.16456,0.0,3.0,0
008933,old,ASW0007t5y,SW55,Capella05,12,200,0.5,1.0,1.2320826249e+12,4,1.6.3,0.16456,0.0,1.3,0
009373,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,7.74631264723e+12,4,1.6.3,0.16456,0.0,3.0,0
009381,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,7.47894372446e+12,4,1.6.3,0.16456,0.0,3.0,0
009934,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,5.22404407939e+12,4,1.6.3,0.16456,0.0,3.0,0
009935,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,5.24461229935e+12,4,1.6.3,0.16456,0.0,3.0,0
009951,old,ASW0004dv8,SW01,c_cld,12,300,0.5,1.0,5.22895156936e+12,4,1.6.3,0.16456,0.0,3.0,0
009964,old,ASW0004dv8,SW01,Phil,8,200,0.5,1.0,6.98474498579e+12,4,1.6.3,0.16456,0.0,3.0,0
010004,old,ASW0004dv8,SW01,ElisabethB,8,200,0.5,1.0,7.55998803107e+12,4,1.6.3,0.16456,0.0,3.0,0
011214,old,ASW0004dv8,SW01,Phil,8,200,0.5,1.0,7.26448387887e+12,4,1.6.3,0.16456,0.0,3.0,0
011332,old,ASW0009ab8,SW22,c_cld,11,200,0.5,1.0,2.27646839103e+12,4,1.6.3,0.16456,0.4,2.0,1.22588017633e+12
011333,old,ASW0009ab8,SW22,c_cld,12,200,0.5,1.0,2.119370054e+12,4,1.6.3,0.16456,0.4,2.0,1.14128258743e+12
011334,old,ASW0009ab8,SW22,c_cld,12,200,0.5,1.0,2.21757620081e+12,4,1.6.3,0.16456,0.4,2.0,1.19416668151e+12
011363,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,5.95429875364e+12,4,1.6.3,0.16456,0.0,3.0,0
011364,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,5.96464583514e+12,4,1.6.3,0.16456,0.0,3.0,0
011365,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,6.97061988723e+12,4,1.6.3,0.16456,0.0,3.0,0
011366,old,ASW0004dv8,SW01,Capella05,8,200,0.5,1.0,7.18704207207e+12,4,1.6.3,0.16456,0.0,3.0,0
011367,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,4.38427349179e+12,4,1.6.3,0.16456,0.0,3.0,0
011368,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,4.38622946175e+12,4,1.6.3,0.16456,0.0,3.0,0
011369,old,ASW0004dv8,SW01,Capella05,12,300,0.5,1.0,7.86910128266e+12,4,1.6.3,0.16456,0.0,3.0,0
011370,old,ASW0004dv8,SW01,Capella05,12,200,0.5,1.0,3.78152350174e+12,4,1.6.3,0.16456,0.0,3.0,0
